BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
1,1100,25860,39025,HomeImp,Other,10.5,0,0,94.36667,1,9,
1,2800,4000,60850,HomeImp,Other,16,4,0,112.6333,2,9,
1,2900,78600,113000,DebtCon,ProfExe,6,1,0,165.3333,2,26,
0,2900,103949,112505,HomeImp,Office,1,0,0,96.10233,0,13,30.05114
0,2900,104373,120702,HomeImp,Office,2,0,0,101.5403,0,13,29.91586
1,2900,7750,67996,HomeImp,Other,16,3,0,122.2047,2,8,36.21135
1,2900,61962,70915,DebtCon,Mgr,2,0,0,282.8017,3,37,49.2064
0,3000,104570,121729,HomeImp,Office,2,0,0,85.88437,0,14,32.05978
1,3000,7000,20300,HomeImp,Other,3,0,0,50.8,5,9,
1,3000,,8800,HomeImp,Other,2,0,1,77.76667,0,3,
1,3000,,33000,HomeImp,Other,1,0,1,23.3,1,2,
1,3000,119826,193500,HomeImp,Other,8,0,0,130.0334,0,27,
1,3000,20000,29750,DebtCon,Other,2,0,0,187.0667,0,12,
1,3000,,14500,HomeImp,Other,3,0,0,9.3,14,2,
1,3000,,14100,HomeImp,Other,1,0,0,104.2,0,19,
1,3000,47000,82700,HomeImp,ProfExe,10,0,1,262.1667,5,26,
1,3000,34542,45900,HomeImp,Mgr,8.5,0,2,62.36667,0,10,
0,3000,58000,71500,HomeImp,Mgr,10,,2,211.9333,0,25,
0,3000,47000,56400,HomeImp,Office,21,0,0,201.8667,0,20,
1,3100,39589,36100,HomeImp,Other,1.5,0,0,153.1667,1,14,
0,3100,,70400,,,,,,,,,
0,3200,67848,74566,HomeImp,Mgr,10,,1,206.4266,0,25,40.11568
1,3200,48603,61000,HomeImp,ProfExe,28,0,4,122.0333,1,25,
1,3200,27200,40834,HomeImp,Other,,0,0,298.1316,0,7,35.55354
1,3200,54000,64850,HomeImp,Other,1,0,0,121.8667,3,21,
0,3200,74864,87266,HomeImp,ProfExe,7,0,0,250.6313,0,12,42.91
1,3200,23159,,HomeImp,Mgr,20,,2,117.8057,0,9,0.524499
1,3300,126541,134527,HomeImp,Sales,9,1,0,139,0,36,
1,3300,130518,164317,DebtCon,Other,9,0,6,192.2891,0,33,35.73056
1,3400,37000,52000,HomeImp,Office,2,0,1,183.2999,0,6,
1,3500,23200,38666,HomeImp,Other,11,0,0,162.3667,0,14,
1,3500,19400,20494,HomeImp,Other,5,0,0,95.93333,0,9,
1,3600,61584,61800,HomeImp,ProfExe,10,,,,,,
1,3600,41900,52490,HomeImp,Mgr,3,0,0,72.03333,2,4,
0,3600,83700,111800,HomeImp,ProfExe,6,0,0,192.7333,1,28,
0,3600,61327,76484,HomeImp,Mgr,9,,2,202.5108,0,25,41.51639
0,3600,100693,114743,HomeImp,Office,6,0,0,88.47045,0,14,29.39354
1,3600,48507,61000,DebtCon,Office,13,1,4,97.4,0,17,
0,3600,52337,63989,HomeImp,Office,20,0,0,204.2725,0,20,20.47092
1,3700,17857,21144,HomeImp,Other,5,0,0,129.7173,1,9,26.63435
1,3800,19135,97692,HomeImp,Mgr,1.6,1,6,252.6333,1,25,
0,3800,51180,63459,HomeImp,Office,20,0,0,203.7515,0,20,20.06704
0,3800,,73189,,,,,,,,,22.25395
0,3800,11543,46045,HomeImp,Self,,0,0,204.648,0,11,42.17317
1,3900,29896,45960,HomeImp,Other,11,0,0,146.1232,0,14,24.47888
1,3900,14500,22092,HomeImp,Other,3.5,0,1,150.3,5,8,
0,3900,52825,63000,DebtCon,ProfExe,8,0,4,171.6667,1,31,
0,3900,102143,118742,HomeImp,Office,2,0,0,85.27737,0,13,29.34392
1,3900,21200,39000,DebtCon,Mgr,4,0,1,86.56667,2,14,
0,4000,105164,112774,HomeImp,Office,1,0,0,94.72487,0,13,29.39093
0,4000,54543,61777,HomeImp,Office,21,0,0,205.5867,0,19,21.80656
1,4000,,80609,HomeImp,Other,1.5,0,2,126.5333,3,12,
1,4000,26572,31960,HomeImp,Office,11,0,0,117.7951,0,8,41.28649
1,4000,17000,52012,HomeImp,ProfExe,22,3,1,85.33333,1,9,
1,4000,29562,37200,DebtCon,Other,6,0,0,92.13333,1,26,
1,4000,41700,76725,HomeImp,Other,0.5,0,3,136.1333,0,15,
1,4000,58000,69440,HomeImp,Other,3.5,0,1,168.6667,0,18,
1,4000,5700,18000,DebtCon,Other,,0,0,12.2,0,17,
1,4000,45000,58350,HomeImp,Mgr,3.5,0,0,162,3,16,
1,4000,7000,16020,HomeImp,Other,18,0,1,85.8,2,23,
0,4000,66000,79050,HomeImp,Other,1.8,2,0,279,1,6,
0,4000,,45760,HomeImp,,0,0,0,,0,0,
0,4000,62000,78000,HomeImp,Other,4,0,0,109.5667,0,15,
0,4000,64240,63990,HomeImp,Sales,5,2,0,160.3,1,23,
1,4000,74000,93000,HomeImp,ProfExe,2.6,1,3,186.6333,,9,
1,4000,55000,59000,DebtCon,Other,12,2,0,146.1,0,22,
0,4000,67625,80698,HomeImp,Mgr,11,,1,212.3493,0,25,39.12872
0,4000,67533,71865,HomeImp,Mgr,10,,2,227.793,0,25,39.16633
1,4100,,19132,HomeImp,Other,0,0,0,100.7747,0,19,33.84092
1,4100,58500,65000,HomeImp,Other,8,1,2,63.93333,2,15,
0,4100,57992,63797,DebtCon,ProfExe,7,0,4,165.505,1,31,22.27817
0,4200,56544,59218,HomeImp,Office,19,0,0,211.0026,1,20,19.0277
1,4200,34800,50225,HomeImp,Other,2,1,0,93.5,1,5,
0,4200,67700,77000,DebtCon,Sales,4,0,0,128.8333,0,31,
0,4200,44000,55085,DebtCon,,6,,1,75.43333,,16,
0,4200,66272,82953,HomeImp,Other,3,0,0,110.2787,0,15,43.45059
0,4200,50216,58541,HomeImp,Office,19,0,0,209.8713,0,19,20.20803
0,4300,71206,78698,DebtCon,Sales,3,0,0,129.9329,0,31,34.18138
0,4300,68815,79852,HomeImp,Other,6,0,0,105.1207,0,14,41.80638
0,4300,72021,80027,HomeImp,Other,2,2,0,263.9703,0,5,36.43209
0,4400,53969,63869,DebtCon,ProfExe,7,0,3,162.39,0,30,23.58108
0,4400,,60250,,,,,,,,,
1,4400,53091,64074,DebtCon,Office,14,1,3,89.86106,0,17,39.15808
0,4500,66127,79087,HomeImp,Other,4,1,0,81.34907,0,15,40.70531
0,4500,,77182,,,,,,,,,25.22725
1,4500,39000,66000,HomeImp,Other,1,0,0,170.3667,1,19,
0,4500,71082,79247,HomeImp,Other,4,0,0,118.7604,0,14,41.42111
0,4500,,49044,HomeImp,,0,0,0,,0,0,11.65274
1,4500,57000,,HomeImp,Other,5,,,222.6,1,13,
1,4500,34184,46000,HomeImp,Mgr,3.5,0,1,122.6,2,22,
1,4500,66517,87000,DebtCon,ProfExe,10,0,4,125.8,0,34,
0,4500,45500,50000,HomeImp,Other,6,0,0,86.16667,0,18,
1,4500,118000,146870,HomeImp,ProfExe,4.5,2,0,203.8667,1,20,
1,4500,90000,105800,HomeImp,Other,6,2,3,80.1,3,10,
0,4700,67913,97205,,Mgr,2,0,0,142.8244,0,24,35.227
0,4700,71855,88566,HomeImp,Other,2,2,0,283.9595,0,5,36.47547
0,4700,53918,59511,DebtCon,,6,,0,54.13648,,15,34.41651
1,4700,49100,58238,HomeImp,ProfExe,0.1,0,0,61.8,2,17,
0,4700,88026,115506,HomeImp,ProfExe,6,0,0,182.2483,0,27,29.20902
1,4700,26900,45000,HomeImp,ProfExe,9,1,2,90.46667,1,16,
0,4800,67317,97191,,Mgr,3,0,0,137.3197,0,23,34.27529
0,4800,56067,63102,DebtCon,ProfExe,9,0,3,160.1463,1,30,21.58376
0,4800,80482,88342,HomeImp,ProfExe,7,0,0,275.0324,0,11,43.71764
0,4900,58688,63348,DebtCon,ProfExe,9,0,3,179.1626,2,31,22.54439
0,4900,65873,90408,,Mgr,2,0,0,141.859,0,23,37.76962
1,4900,25597,23031,HomeImp,Other,5,0,0,101.7468,0,8,33.24316
0,4900,67794,84630,HomeImp,Other,4,0,0,112.5734,0,15,41.674
1,4900,44000,59745,HomeImp,Other,10,0,0,81.5,3,13,
0,4900,,28437.5,HomeImp,,,,,,,,
0,4900,170986,245300,DebtCon,Sales,,0,0,131.9333,0,22,
1,4900,65576,65774,HomeImp,Other,6,1,2,61.64251,1,14,40.59091
0,4900,57461,68494,DebtCon,ProfExe,8,0,4,183.6356,0,30,22.79542
0,4900,,69706,,,,,,,,,33.70559
0,5000,,34846,HomeImp,,,,,,,,33.35465
0,5000,47479,61690,DebtCon,,5,,0,65.03297,,16,36.69941
0,5000,66839,87168,HomeImp,Other,4,0,0,122.5972,0,15,40.61678
0,5000,12457,53448,HomeImp,Self,,0,0,207.1435,0,12,44.10795
0,5000,90059,113714,HomeImp,ProfExe,7,0,0,193.6364,0,28,25.89732
1,5000,22320,34900,HomeImp,Other,10,0,0,65.7,1,5,
1,5000,40000,70500,HomeImp,Mgr,0.4,0,0,61.76667,2,8,
1,5000,100882,102700,HomeImp,Mgr,5,0,1,58.86667,0,16,
1,5000,31000,47350,HomeImp,ProfExe,12,,,,,,
1,5000,63125,126500,HomeImp,Office,3,0,0,100.3,0,14,
1,5000,100000,129693.5,HomeImp,Mgr,13,,,,,,
1,5000,,132000,HomeImp,Other,17.5,0,2,121.9,0,14,
1,5000,,9100,HomeImp,Other,1,0,0,54.73333,2,8,
1,5000,34200,50830,HomeImp,Other,6,0,0,57,1,9,
1,5000,,71277,HomeImp,Other,10,0,0,72.43333,1,12,
1,5000,123000,157500,HomeImp,Mgr,9,,,,,,
1,5000,16600,25250,HomeImp,Other,6,0,0,88.7,1,3,
1,5000,,52000,HomeImp,Other,,0,1,285.3333,0,6,
1,5000,22700,34225,HomeImp,Other,4,0,0,74.63333,3,9,
1,5000,6000,38575,HomeImp,Self,7,0,1,335.0333,3,42,
1,5000,,74500,HomeImp,Other,19,,,,,,
1,5000,,94119,HomeImp,Other,19,,,,,,
0,5000,73126,87500,DebtCon,Other,1,0,0,125.9667,2,10,
0,5000,72517,86250,DebtCon,Mgr,19,0,1,300.3667,1,24,
0,5000,26037,35000,HomeImp,ProfExe,12,0,0,182.6333,0,13,
0,5000,39000,50340,HomeImp,Office,10,,,179.8333,,19,
0,5000,,26550,DebtCon,Other,1.7,0,0,276.9667,1,14,
0,5000,70470,77908,DebtCon,,5,,,,,,
0,5000,,36375,HomeImp,Other,3,0,0,266.8,1,26,
0,5000,74225,89640,DebtCon,ProfExe,0.3,,,,,,
0,5000,,65400,HomeImp,Office,1.5,0,0,51.76667,0,4,
1,5000,,37500,HomeImp,Other,,0,3,107.1333,10,5,
0,5000,78565,98500,DebtCon,ProfExe,24,0,0,51.76667,3,14,
0,5000,59900,80800,DebtCon,ProfExe,15,0,0,219.1333,1,18,
1,5000,10171,26809,HomeImp,Office,13,3,6,228.3,0,24,
1,5000,78893,82600,HomeImp,Mgr,16,0,0,133.9,1,34,
1,5000,85165,107940,HomeImp,Mgr,6,5,3,122.7667,5,28,
1,5000,68000,75616,DebtCon,ProfExe,0.1,0,0,131.8667,0,30,
1,5000,71571,85100,DebtCon,ProfExe,1.4,0,1,82.13333,0,13,
1,5000,28000,36810,DebtCon,Other,2,1,0,222.2,1,6,
1,5000,40000,32480,HomeImp,Other,8,3,2,163.3667,1,16,
1,5000,81748,,DebtCon,ProfExe,14,1,2,144.0667,2,17,
0,5000,44674,59375,HomeImp,Office,10,,,178.6925,,19,26.4482
1,5000,61999,75021.3,HomeImp,Other,5,0,0,97.1,0,23,
0,5000,80153,97275,DebtCon,Other,1,0,0,120.6751,2,10,37.51271
0,5000,68739,93435,,Mgr,3,0,0,148.7204,0,23,36.66928
0,5000,51209,55320,DebtCon,,5,,1,69.10747,,15,35.02507
1,5000,46696,85202,HomeImp,Other,2,1,2,148.3406,0,14,46.48987
0,5000,,46281,HomeImp,Other,2,0,0,257.6522,0,26,40.95259
0,5000,66435,82819,HomeImp,Other,2,0,0,125.1306,0,14,42.18354
0,5100,179725,251962,DebtCon,Sales,,0,0,127.4988,0,22,40.30826
0,5100,85583,115341,HomeImp,ProfExe,7,0,0,177.9583,1,28,26.25797
0,5100,72891,80691,HomeImp,Other,1,1,0,273.8817,0,6,39.85215
1,5100,30755,46735,HomeImp,Other,10,0,0,69,0,17,
0,5100,,26715,DebtCon,Other,1,0,0,258.7893,0,14,26.72234
0,5100,87258,121382,HomeImp,ProfExe,6,0,0,181.663,0,28,25.44476
0,5100,,28291,DebtCon,Other,2,0,0,277.9446,1,14,23.64469
1,5100,9900,30451,HomeImp,Other,11,0,0,21.2,0,2,
0,5100,93000,116875,HomeImp,Other,10,,,417.6333,2,50,
1,5100,15500,34000,DebtCon,Other,0,1,2,86.23333,2,13,
1,5100,129319,141875,HomeImp,Sales,7,1,0,157.8598,0,36,25.65074
0,5100,66834,87361,HomeImp,Other,0,2,0,290.0341,0,6,38.76699
0,5100,73882,96031,DebtCon,Other,0,0,0,125.7874,1,10,34.44608
0,5100,74071,97064,DebtCon,Other,0,0,0,121.076,2,9,36.40173
0,5100,62702,79784,HomeImp,Other,2,0,0,108.0726,0,15,43.29014
0,5200,,36425,DebtCon,Other,2,0,0,266.8135,1,14,23.7974
0,5200,67000,77000,HomeImp,Other,9,0,1,119.7,0,25,
0,5200,43039,53521,HomeImp,Office,11,,,184.2967,,19,24.41476
0,5200,19000,26000,DebtCon,Other,0,1,0,17.2,10,7,
1,5200,,9500,DebtCon,Other,1,0,1,81.1,1,2,
0,5200,91250,110000,HomeImp,Office,24,0,0,123.7667,1,12,
0,5200,16324,45187,HomeImp,Self,,0,0,221.1181,0,11,42.71209
1,5200,40564,39527,HomeImp,Other,0,0,0,157.771,1,13,72.67043
0,5300,73698,84427,DebtCon,,4,,,,,,19.1312
0,5300,66987,65111,HomeImp,Sales,4,1,0,175.3287,1,22,40.44257
1,5300,26908,36078,HomeImp,Other,,0,0,302.3587,0,8,39.19699
0,5300,,49396,HomeImp,,0,0,0,,0,0,12.04367
0,5300,44993,50673,HomeImp,Office,7,,,184.7428,,18,27.90612
1,5300,51000,64000,HomeImp,Mgr,10,1,0,98.33333,0,12,
0,5300,75958,91703,DebtCon,Other,0,0,0,124.1822,1,10,34.59906
0,5300,97132,117343,HomeImp,Office,22,0,0,109.9339,1,11,35.83854
0,5300,60826,80826,HomeImp,Mgr,10,,1,212.8917,0,25,38.59149
0,5300,83552,96809,DebtCon,ProfExe,0,,,,,,28.42396
0,5300,47449,63895,HomeImp,Office,19,0,0,208.1627,0,20,19.76211
0,5300,50934,62957,HomeImp,Office,21,0,0,197.242,0,20,19.35051
0,5400,53429,64505,DebtCon,,5,,0,69.54243,,16,36.48024
0,5400,,65474,HomeImp,Office,1,0,0,40.70985,0,4,37.84877
0,5400,47844,52040,HomeImp,Office,8,,,189.0343,,18,24.70114
1,5400,45509,57453,DebtCon,Sales,4,0,0,95.6,0,22,
1,5400,59720,63450,HomeImp,ProfExe,5,0,1,199.9,1,20,
0,5400,86922,119846,HomeImp,ProfExe,5,0,0,185.0763,1,28,26.35489
0,5400,68625,82304,DebtCon,Sales,2,0,0,136.6329,0,30,32.05002
0,5400,65814,85848,HomeImp,Other,4,0,0,122.9403,0,15,44.09233
0,5400,,75254,,,,,,,,,23.16374
1,5400,78300,88000,HomeImp,ProfExe,8,0,0,102.5,3,19,
0,5400,48152,55760,DebtCon,,6,,0,78.45213,,16,35.76364
0,5500,70481,82446,HomeImp,Other,8,0,1,116.592,0,24,37.61268
0,5500,,35402,HomeImp,,,,,,,,35.27207
0,5500,87765,101053,DebtCon,ProfExe,22,0,0,55.55805,2,13,31.37554
0,5500,52897,65054,HomeImp,Office,20,0,0,189.2953,0,19,20.65413
1,5500,24700,35675,DebtCon,Other,1,0,3,153.9333,3,27,
1,5500,,43132,HomeImp,Other,,,,,,,
0,5500,43486,81600,DebtCon,,4,0,0,216.1333,4,30,
1,5500,21359,30000,DebtCon,Other,7,3,2,130.8,3,14,
1,5500,,13770,HomeImp,Mgr,5,0,1,167.3667,1,8,
0,5500,93051,115374,HomeImp,ProfExe,6,0,0,187.0205,1,27,27.64675
0,5500,87438,116679,HomeImp,ProfExe,6,0,0,186.4244,1,27,28.41753
0,5500,78059,78179,DebtCon,,5,,,,,,20.67931
0,5500,72147,69918,HomeImp,Sales,4,2,0,158.5345,0,23,43.40443
1,5500,40584,46645,HomeImp,Other,4,0,1,136.3206,0,13,34.49471
1,5500,,12972,HomeImp,Other,1,0,1,82.29427,0,2,36.98674
1,5500,37368,48502,HomeImp,Mgr,9,0,2,48.99585,0,10,33.12648
0,5500,,66251,HomeImp,Office,1,0,0,43.72234,0,3,41.45204
0,5500,71644,72696,HomeImp,Sales,4,2,0,150.8658,0,22,40.44257
1,5500,85845,122205,DebtCon,ProfExe,5,0,0,172.2133,1,26,32.67664
0,5600,53793,66379,HomeImp,Office,22,0,0,206.0991,0,19,18.36954
0,5600,69435,83489,DebtCon,ProfExe,14,0,0,200.4184,1,17,22.84109
0,5600,29648,39907,HomeImp,ProfExe,11,0,0,180.5631,0,13,21.55495
0,5600,76407,77485,HomeImp,Other,9,0,0,91.68377,0,24,37.77335
1,5600,5000,66700,HomeImp,Other,31,1,1,204.0667,0,11,
1,5600,55160,86800,HomeImp,Other,3,1,1,148.1333,1,14,
0,5600,41439,53893,HomeImp,Office,8,,,181.323,,19,24.6514
0,5600,15275,47954,HomeImp,Self,,0,0,204.3352,0,12,42.39777
0,5700,100934,111496,HomeImp,Office,23,0,0,117.4996,0,12,38.75056
0,5700,,74685,,,,,,,,,24.27487
0,5700,49514,58249,HomeImp,Office,21,0,0,212.5391,0,21,21.25803
0,5700,76948,85753,HomeImp,Other,7,0,0,128.4765,0,25,37.85969
0,5700,28127,36524,HomeImp,ProfExe,10,0,0,181.283,0,13,24.33953
0,5700,,68591,HomeImp,Office,0,0,0,69.64566,0,4,41.18504
0,5700,26927,35461,DebtCon,Other,0,1,0,21.79935,10,6,29.43966
0,5700,49806,82242,DebtCon,,3,0,0,210.3475,3,30,31.24341
1,5700,70000,84579,DebtCon,Sales,0.1,0,0,95.9,1,17,
1,5700,58400,75000,HomeImp,ProfExe,4,0,0,177.5,2,26,
1,5700,80437,109647,HomeImp,ProfExe,9.5,0,0,104.4,0,14,
1,5700,77213,92661,DebtCon,Sales,0,0,0,97.13317,1,16,41.77789
0,5700,62319,82923,HomeImp,Other,4,0,0,117.674,0,15,42.46487
0,5700,71556,79538,HomeImp,Other,2,0,0,92.64308,0,15,41.21001
0,5700,,39052,HomeImp,Other,3,0,0,272.2206,0,25,39.8961
1,5700,74172,79846,DebtCon,ProfExe,0,0,0,157.0098,0,28,47.41523
0,5700,28116,33450,DebtCon,Other,0,1,0,15.39659,9,7,30.01701
0,5700,,64910,,,,,,,,,33.85046
0,5700,,69172,HomeImp,Office,1,0,0,48.85367,0,3,38.77369
0,5800,,36385,HomeImp,Other,2,0,0,266.5534,1,25,43.30976
0,5800,,41119,HomeImp,Other,2,0,0,261.4052,0,26,42.19194
0,5800,75000,90543,DebtCon,Mgr,18,0,0,300.4872,1,23,38.94058
0,5800,79296,86885,DebtCon,Mgr,19,0,1,307.9749,1,23,39.95911
1,5800,27791,46833,DebtCon,Mgr,3,0,0,83.28906,1,13,30.18781
0,5800,172595,250155,DebtCon,Sales,,0,0,126.401,0,21,43.20776
0,5800,,34704,HomeImp,,,,,,,,34.17406
0,5800,,73804,HomeImp,Office,1,0,0,71.76656,0,4,41.28742
0,5800,46595,58191,HomeImp,Other,5,0,0,80.13175,0,17,24.14015
1,5900,,28000,DebtCon,Self,1,2,1,36.76667,1,8,
0,5900,70973,77989,HomeImp,Other,7,0,0,120.3794,0,24,41.4425
1,5900,,33100,HomeImp,Other,,0,0,238.6,1,2,
0,5900,,51189,HomeImp,,1,0,0,,0,0,12.74918
0,5900,82912,91175,DebtCon,ProfExe,2,,,,,,27.59527
1,5900,25972,41856,DebtCon,Other,2,0,2,157.96,3,27,40.62828
0,5900,74187,78976,HomeImp,Other,9,0,1,118.4425,0,24,40.11041
0,5900,,66903,,,,,,,,,32.78293
1,5900,106650,,DebtCon,Mgr,1,0,6,250.5667,4,23,
0,6000,,69492,,,,,,,,,32.9772
0,6000,95232,115977,HomeImp,Office,22,0,0,149.0229,1,12,37.95434
1,6000,47625,85925,HomeImp,Office,0.1,2,1,154.1333,4,26,
1,6000,24600,30500,HomeImp,Other,4.5,0,1,116.1,8,34,
1,6000,65000,94355,,Other,26,1,3,69.3,1,34,
1,6000,,,HomeImp,Office,13,,2,122.7667,,23,
1,6000,33600,,HomeImp,Other,2,0,0,140.9333,1,20,
1,6000,42000,58305,DebtCon,Other,19,0,0,90,2,13,
1,6000,32446,54904,HomeImp,Other,2,0,0,51.73333,1,9,
1,6000,9660,35900,DebtCon,Other,8,0,1,136.3,3,6,
1,6000,22859,32200,DebtCon,Other,4,0,0,83.33333,3,20,
1,6000,16878,25850,,Mgr,1,0,1,218.6,5,34,
0,6000,72951,80000,HomeImp,Other,22.8,0,0,343.9,1,47,
0,6000,43000,57460,HomeImp,Other,1.6,1,,101.5,,13,
0,6000,53500,64790,DebtCon,Other,0.1,0,2,105.4,3,18,
0,6000,69876,94394.07,HomeImp,Other,0,0,1,179.5667,0,32,
0,6000,51000,86125,HomeImp,ProfExe,6,0,0,222.1667,2,24,
0,6000,53227,68700,HomeImp,Mgr,3,0,2,122.7333,0,23,
0,6000,,43300,HomeImp,Other,,,,100.9333,,9,
0,6000,14000,61493,HomeImp,Office,23,0,0,321.6333,1,13,
1,6000,40000,54600,HomeImp,ProfExe,4,0,4,101.4,0,19,
1,6000,18793,27750,HomeImp,Mgr,6,0,3,119.7,0,8,
1,6000,179397,200000,DebtCon,ProfExe,5,6,0,90.3,6,29,
1,6000,,95500,HomeImp,Mgr,6,1,2,129.9,1,22,
0,6000,79046,103048,HomeImp,Other,0,0,0,181.6965,0,32,37.28999
0,6000,,53190,HomeImp,,0,0,0,,0,0,15.17442
1,6000,,43683,HomeImp,Other,,,,,,,21.9355
0,6000,129731,154113,HomeImp,ProfExe,12,0,0,213.5333,0,19,
0,6100,48500,62500,DebtCon,Mgr,7,,4,111.3,2,11,
0,6100,,47400,,,,,,,,,
0,6100,91704,114799,HomeImp,Office,22,0,0,129.2501,1,12,36.74677
0,6100,47604,54966,HomeImp,Other,5,0,0,70.69533,0,18,24.76674
0,6100,,35250,HomeImp,Other,,,,303,,12,
1,6100,62751,95617,HomeImp,Other,1,0,0,138.6469,1,13,31.75727
0,6100,48300,53388,HomeImp,Office,9,,,178.4896,,19,26.72003
0,6100,68743,65321,HomeImp,Sales,3,1,0,153.0668,0,22,40.15053
0,6100,79636,87276,HomeImp,Other,20,0,0,350.4361,0,47,28.84828
0,6100,,46830,HomeImp,,0,0,1,,0,0,13.30601
0,6100,78753,95433,DebtCon,ProfExe,0,,,,,,28.92512
0,6100,77265,97944,DebtCon,ProfExe,0,,,,,,28.87646
0,6200,75657,84368,DebtCon,Sales,4,0,0,122.2449,0,30,32.55254
0,6200,171582,245730,DebtCon,Sales,,0,0,135.1089,0,22,39.78382
0,6200,,33909,HomeImp,,,,,,,,34.5174
0,6200,46601,59486,HomeImp,Other,5,0,0,84.63211,0,18,25.35001
0,6200,60354,87596,HomeImp,ProfExe,5,0,0,210.1731,2,23,34.05481
0,6200,45356,82054,DebtCon,,2,0,0,201.3345,4,29,29.66171
0,6200,,41657,HomeImp,Other,,,,293.9587,,11,30.19763
1,6200,,,DebtCon,Self,3,,,80.5,2,17,
0,6200,,80078,,,,,,,,,25.37554
1,6200,42100,57385,DebtCon,Other,8.5,0,1,164.8,1,28,
0,6200,70793,71552,HomeImp,Sales,3,2,0,162.9452,0,23,40.3154
0,6200,73881,98550,HomeImp,Other,0,0,1,182.8788,0,31,37.19945
0,6200,45787,64854,DebtCon,,4,,1,63.11702,,16,36.53875
0,6200,75121,96462,DebtCon,ProfExe,0,,,,,,27.16766
0,6200,,51732,,,,,,,,,12.32471
0,6200,133882,155222,HomeImp,ProfExe,9,0,0,212.5376,0,19,20.61678
0,6200,75623,89634,HomeImp,Other,24,0,0,324.6868,0,47,28.28553
0,6200,45564,61956,HomeImp,Other,2,0,,101.1671,,13,38.67514
0,6300,99469,116260,HomeImp,Office,23,0,0,124.7456,1,12,35.64227
0,6300,55000,69000,DebtCon,ProfExe,13,0,0,130.0667,0,20,
0,6300,,72890,HomeImp,Office,1,0,0,41.25011,0,3,39.19807
0,6300,44226,57779,DebtCon,,7,,0,63.62641,,16,33.11183
0,6300,,39050,HomeImp,Other,,,,294.478,,12,31.44775
0,6300,78724,80355,HomeImp,Other,24,0,0,335.0741,1,46,31.17726
1,6300,59793,98314,DebtCon,Self,2.2,0,0,120.7333,0,8,
1,6300,65875,76000,DebtCon,Mgr,0.8,2,0,84,1,12,
0,6300,45582,89005,DebtCon,,2,0,0,209.358,4,30,29.59596
0,6300,92659,117352,HomeImp,ProfExe,6,0,0,199.0119,0,27,26.52005
0,6300,58052,70091,DebtCon,ProfExe,9,0,4,153.7804,1,30,21.7196
0,6300,49498,64296,DebtCon,Mgr,6,,4,111.2065,1,10,38.57713
0,6300,79667,96988,DebtCon,ProfExe,1,,,,,,29.83596
1,6300,12476,32559,HomeImp,Office,12,3,6,227.1299,0,23,23.31952
0,6300,69357,73726,HomeImp,Sales,3,2,0,163.2839,1,22,42.40781
0,6300,26655,29792,DebtCon,Other,1,1,0,12.75927,10,6,28.36185
